question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,env_ac_egss3,sdg_12_61,med_ec5,enpe_nama_10_a10,enps_nama_10_a10,teina400_r2,cei_cie012,gov_eu_nfa,teina402_r2,isoc_bde15ag
1,med_ec0,earn_mw_avgr1,med_ps24,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,ten00139,med_ps32,educ_uoe_fini06,educ_fiaid
2,gbv_ch_rp,tipsna51,ilc_di12b,mar_qg_qm_pwhr,lan_settl,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tessi191,hsw_ind
3,sbs_pen_7b1,sbs_pen_enteea,tag00123,sdg_06_20,tai09,sbs_pen_7e,dsb_sprpb01,lfso_06finiagps,sbs_pen_7c,mar_qg_qm_pwhc
4,med_air4,enps_avia_typ,med_air3,tran_im_uiww,mar_qg_qm_ewht,avia_ec_emp_ent,avia_eq_arc_agereg,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq
5,teina400_r2,teina402_r2,teina416_r2,teina412_r2,teina408_r2,teina424_r2,teina432_r2,teina428_r2,teina404_r2,teina414_r2
6,edat_lfso_00t5,bs_bs4_06,trng_nfe18,migr_eilpop,educ_uoe_fini05,hlth_rs_prs2$dv_2824,isoc_bde15ap,tin00085,rd_p_con,cens_91dame
7,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,gov_eu_nfa,med_ag33,apro_mk_fatprot,tag00039,tag00037,tag00041,org_aprod_h
8,med_en3,enps_road_eqs_car,med_rd2,enps_rail_eq,med_rd5,sbs_part_wtstck,med_ra2,med_ra3,env_chmhaz,med_rd3
9,gbv_npv_rp,gbv_st_perp,gbv_ch_rp,gbv_npv_perp,gbv_ipv_rp,gbv_npv_cnq,tin00127,sdg_05_10,isoc_ci_ac_i$dv_1122,mar_qg_qm_ewhg
10,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,road_tf_buscoa,rail_ac_dnggood,hsw_aw_inaws,tipsst10,hsw_aw_nnasv,mar_qg_qm_ewht,hsw_aw_nnaws
11,lfso_10fvaredu$dv_609,ilc_scp07$dv_1064,hlth_ehis_al1e$dv_1142,teimf100,ilc_scp12$dv_2746,ilc_scp10$dv_2744,enpe_mon_res,enpe_irt_st,irt_st_a,tin00091
12,lfsi_jhh_a,iss_21gvcms,mar_qg_qm_pwhc,mar_qg_qm_pwhl,mar_qg_qm_pvh,mar_qg_qm_pwhr,tgs00108,ilc_lvhd02,bs_bs4_06,isoc_sk_cskl_i$dv_266
13,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,edat_lfso_00t2,educ_uoe_enrt05,enps_ilc_natln,tps00048,med_ps43,earn_mw_avgr2,earn_mw_avgr1
14,gov_eu_nfa,gov_eu_fa,teilm100,tec00021,iss_18bfbck,tps00173,tipspd30,tipsfs10,tipspd20,tipspc20
15,mar_sg_am_cv,mar_mg_am_cvh,mar_qg_qm_pvh,tus_00travel,tespn250,tespn270,rail_eq_pa_csb,mar_mg_am_pvh,ilc_pnp2$dv_1988,ilc_pns2
16,cens_91dame,cens_01ndcomf,hlth_ehis_al3e$dv_450,hlth_ehis_al1e$dv_1142,ilc_scp07$dv_1064,tipsun30,mar_qg_qm_cwh,mar_qg_qm_pwhc,mar_qg_qm_pwhr,mar_qg_qm_pwh
17,lfst_dpw_06,tesov190,tessi121,tour_ce_oasc,rail_ac_catnmbr,ilc_scp12$dv_2746,ilc_scp10$dv_2744,rd_p_sen,tepsr_wc310,tessi293
18,tps00197,tps00066,earn_ses_pub1i,lfst_dpw_01,ilc_igtp03,enps_edat_lfse4,eq_pop03,gbv_npv_ed,gbv_dv_ed,ilc_sbjp02
19,isoc_ci_cm_h$dv_507,med_ps32,tipsun30,enpe_isoc_ci_ifp_fu,tet00037,ilc_lvho50c,med_en24,ilc_lvho50d,tessi295,tessi294
20,enpe_apro_cpnh1,tag00103,enps_apro_cpnh1,med_ag2,tag00064,tps00176,tps00024,tps00177,gbv_any_cnq,gbv_ipv_cnq
21,trng_nfe7,gov_eu_nfa,edat_lfse_20$dv_1101,mar_qg_qm_ewhg,trng_nfe13,tps00185,sdg_08_20a,mar_qg_qm_ewhk,trng_nfe18,trng_nfe15
22,med_ps32,enps_ilc_secure,enps_ilc_sanit,isoc_ci_cm_h$dv_507,med_en21,eq_pop03,tps00028,med_en47,orch_total,enps_env_ww_con
23,rail_tf_ns15_sk,rail_tf_ns20_sk,rail_tf_ns10_sk,rail_tf_ns_sk,rail_tf_ns15_li,rail_tf_ns15_mk,rail_tf_ns15_no,rail_tf_ns15_lv,rail_tf_ns15_ee,rail_tf_ns_li
24,enps_tour_occ_ninat,enpe_mon_res,tin00172,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tin00176,sbs_pen_7b1,tag00123,tin00175
25,ilc_lvhd01,tesov092,tespn120,tespn010,tespn110,tespn100,tessi121,tps00151,tesem210,tespm060
26,ilc_igtp04,ilc_igtp03,tessi121,lfsi_jhh_a,tessi014,sdg_05_10,ilc_li34,ilc_li33,ilc_li34$dv_1982,ilc_li33$dv_1983
27,med_ps22,educ_iste,educ_ipart$dv_437,educ_fiaid,trng_nfe5,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,hlth_ehis_al3e$dv_450,rd_p_sen
28,ilc_li22$dv_2664,tessi220,tespm060,tesov092,tessi125,tessi010,tps00184,tespn010,tessi121,tepsr_spi110
29,teiet160,teiet060,teiet010,teiet030,teiet130,teiet110,teiet020,teiet120,teiet150,teiet050
30,tesov190,rd_p_sen,gbv_ch_rp,tespn250,tespn270,earn_nt_lowwtrp,hlth_ehis_am7sh,tps00171,tps00170,tessi175
31,mar_qg_qm_ewhk,mar_qg_qm_ewhg,mar_qg_qm_ewht,mar_qg_qm_cwh,mar_qg_qm_ewhd,mar_qg_qm_pwhr,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhc,mar_sg_am_ewx
32,tet00001,egi_tr1,egr_conc,tet00028,hsw_aw_ws2,tepsr_sp410,trng_aes_186,tespn080,ilc_pns4,hsw_ij_svsha
33,tet00028,prc_rem_cs,tet00001,trng_aes_186,iss_18bfbck,lan_settl,prc_rem_avg,prc_colc_nat,prc_colc_pppnat,ilc_di11_r
34,mar_qg_qm_ewhk,mar_qg_qm_pwhr,ilc_scp12$dv_2746,ilc_scp10$dv_2744,gbv_ch_rp,tesem210,lfsi_jhh_a,trng_nfe15,med_ps414,tps00181
35,rd_p_sen,gov_eu_nfa,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,hsw_ij_isna,tec00021,tipsun30,mar_qg_qm_pwhc,mar_qg_qm_ewhd
36,isoc_sk_cskl_i$dv_266,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,ilc_lvhd06,tin00096,rail_ac_catnmbr,tran_sf_railac,iss_18bfmmag,gbv_st_cnq
37,hlth_hc_phys,med_ps23,med_ps25,rd_p_sen,ilc_hch15,hlth_sha11_hf$dv_2821,tps00217,educ_uoe_grad07,ten00110,tps00167
38,ert_h_eur_a,med_en24,isoc_sk_oja2,med_air4,mar_qg_qm_ewhd,env_air_no2,mar_qg_qm_ewht,mar_qg_qm_pwhc,mar_qg_qm_pwh,mar_qg_qm_pwhl
39,egr_mne,egr_mne_n2sc,tet00038,prc_rem_gdp,mar_qg_qm_ewht,egr_emp,mar_qg_qm_ewhg,tet00037,tipsna60,prc_ppp_conv
40,mar_qg_qm_pvh,tespn270,mar_mg_am_cvh,tepsr_sp210,mar_sg_am_cv,ilc_pnp2$dv_1988,ilc_pns2,ilc_pnp2,mar_mg_am_pvh,tespn080
41,mar_qg_qm_cwh,mar_qg_qm_pwhr,mar_qg_qm_pwh,mar_qg_qm_pwhl,mar_qg_qm_pwhc,mar_qg_qm_pvh,mar_qg_qm_ewhg,mar_qg_qm_ewhk,mar_qg_qm_ewht,mar_qg_qm_ewhd
