question_id,question,table_id
0,"In 2013, how much of Israel's total gross value added was accounted for by services?",enpe_nama_10_a10
1,What proportion of investment credits was allocated to public educational establishments in France in 2018?,educ_uoe_fini05
2,"In 2015, what was the Gini index among Irish family units for spending?",icw_sr_05
3,How many euros were invested in independent retirement funds in Switzerland in 2006?,sbs_pen_7c
4,"In 2006, what was the total number of aircraft used for freight transport in Algerian commercial aviation?",enps_avia_typ
5,"What was Hungary's gross value added in the first quarter of 2022, according to NACE?",teina432_r2
6,How many law enforcement personnel were there in Romania in 2001?,crim_plce
7,How much powdered milk was produced in Croatia in 2015?,tag00039
8,How many environmentally harmful vehicles were there in Tunisia in 2007?,med_en3
9,"In 2021, what fraction of women in Serbia disclosed non-partner abuses to healthcare or social agencies?",gbv_npv_rp
10,What was the performance of domestic bus transport in Czechia in 2004?,road_pa_mov
11,"In 2020, how many people in North Macedonia borrowed money for their day-to-day spendings with a poverty risk exceeding sixty percents?",ilc_odbt08
12,How many people submitted a reapplication for asylum in Hungary in 2021?,tps00191
13,"In 2017, what proportion of the Noord-Holland's inhabitants faced the danger of poverty or being socially marginalized?",tgs00107
14,How much revenue from product-related taxes did EU bodies report in their non-financial accounts for 2021?,gov_eu_nfa
15,How many private cars aged from ten to twenty were there in Croatia in 2013?,road_eqs_carage
16,What fraction of the polutation in Latvia lacked sanitary amenities in 2011?,sdg_06_10
17,"In 2015, what share of family units within the 27-nation European Union spent more than their income?",icw_pov_03
18,What proportion of people aged 25 to 34 in Portugal had no more than a lower secondary education in 2023?,tps00197
19,What share of Austria's population lacked access to showering facilities in 2014?,tessi293
20,What was the price of sugar beet in France in euros during 2016?,tag00064
21,How many hours were spent on non-formal instruction in the industrial sector in Slovakia in 2003?,trng_nfe13
22,What proportion of Israel's population had access to urban sewage processing facilities in 2013?,enps_env_ww_con
23,What was the freight train traffic on the Lucenec - Filakovo segment in Slovakia in 2015?,rail_tf_ns15_sk
24,What was the typical amount spent by Italians per overnight stay in euros in 2016?,tin00196
25,"In 2017, how many minors in Croatia faced the risk of poverty or social marginalization?",ilc_pecs01
26,What was the poverty risk rate for financially stable adults aged 25 to 59 in Austria in 2011?,ilc_igtp04
27,"In Hungary, what was the mean classroom size at ISCED 1 schooling in 2004?",educ_iste
28,What fraction of Germans were at risk of poverty after receiving social benefits in 2005?,tipslc20
29,What was the value of goods exported from the Euro area to the U.S. in 2023?,tet00065
30,"How overcrowded is the population in Malta in 2020, excluding single-person family units?",tessi176
31,How many tonnes of cargo passed through the main harbors of Denmark in the second quarter of 2022?,mar_qg_qm_cwh
32,"By how much did the export service trade ratio of Luxembourg shift over five years, as of 2000?",tipsna30
33,What export unit value index did Greece report in 2016?,tet00028
34,"In 2019, what share of family units in North Macedonia were unemployed?",tps00182
35,What was the median revenue of senior people in France in 2017?,tespn020
36,How much freight was moved within Luxembourg in 2010?,rail_go_total
37,How many medical graduates pursued dentistry in Greece in 2013?,hlth_rs_grd2$dv_2825
38,How many Finnish businesses ceased operations overseas in 2018?,iss_18bfmmag
39,How many international firms from EU-EFTA nations were based in the European Union of 27 in 2021?,egr_mne
40,How many commercial planes aged twenty years or older were recorded in Finland in 2008?,avia_eq_arc_agereg
