question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,fats_g1a_08,fats_activ,fats_g1b_08,fats_ctrl,fats_g1b_03,fats_g1a_03,sbs_na_2a_el,sbs_na_4a_co,sbs_na_2a_mi,fats_g1a_rd
1,fobs_gen,fobs_age,educ_fipubin,bop_euins6_m,fobs_bra,fobs_edu,educ_fifunds,bop_euins6_q,gov_10q_ggnfa,educ_uoe_fini02
2,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv,isoc_cisci_prv20,isoc_sk_edic_i21,isoc_ciegi_pb22,icw_sr_05,gov_10a_exp,gov_10a_main
3,sbs_pen_7b1,sbs_pen_7a,nasa_10_f_bs,nasa_10_f_tr,gov_10a_main,bop_euins6_a,bop_euins6_q,bop_euins6_m,bop_eu6_q,naidsq_10_f_bs
4,avia_eq_arc_typreg,enps_avia_typ,avia_eq_arc_typ,med_air3,avia_eq_arc_agereg,avia_eq_arc_age,road_go_ta_nace,nrg_ti_coifpm,avia_tf_apal,inn_cis5_sou
5,fats_ctrl,cult_ent_num,fats_g1b_08,naida_10_a10,fats_g1b_rd,sbs_sc_con_r2,sbs_na_2a_el,cult_ent_val,sbs_na_4a_co,sbs_na_2a_mi
6,gov_10a_exp,crim_just_job,isoc_cisci_prv,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv20,isoc_sk_edic_i21,isoc_ciegi_pb22,gbv_ch_rp
7,apro_mk_colm,fish_ca_main,nrg_ti_coifpm,agr_r_milkpr,fish_ld_mt,tgs00046,pat_ep_ripc,apro_mk_pobta,ipr_ta_cl,fish_ld_main
8,fats_g1b_08,fats_g1b_rd,fats_g1a_08,isoc_cisci_prv,fats_ctrl,fats_ctrl_rd,sts_inpi_m,sts_inpi_q,inn_cis12_enve,inn_cis6_eco
9,prc_hicp_cmon,prc_hicp_fp,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cind,prc_hicp_midx,prc_hicp_cann,prc_hicp_mv12r,gbv_npv_rp,prc_hicp_apc
10,road_tf_veh,road_tf_veh_h,road_tf_vehmov,road_pa_mov,road_tf_road,road_tf_road_h,road_tf_vehage,tran_r_vehst,tran_sf_roadve,tran_r_elvehst
