question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,env_ac_egss3,sdg_12_61,enpe_nama_10_a10,enps_nama_10_a10,teina404_r2,teina400_r2,teina406_r2,isoc_bde15ag,tin00074
1,educ_fiaid,earn_mw_avgr1,med_ec0,med_ps24,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,ten00139,educ_iste,prc_colc_ext
2,tipsna51,hsw_aw_nnaws,gbv_ch_rp,hsw_ind,icw_sr_05,hsw_aw_inaws,ilc_scp12$dv_2746,ilc_scp10$dv_2744,iss_21gvcms,ilc_di12b
3,sbs_pen_7b1,tag00123,sbs_pen_enteea,dsb_sprpb01,lfso_06finiagps,sbs_pen_7e,sdg_06_20,tec00023,sbs_pen_7c,teimf200
4,med_air4,enps_avia_typ,mar_qg_qm_ewhk,med_air3,mar_qg_qm_ewht,mar_qg_qm_pwhc,mar_qg_qm_pwhl,mar_qg_qm_pwhr,mar_qg_qm_pvh,mar_qg_qm_ewhg
5,teina400_r2,teina416_r2,teina412_r2,teina402_r2,teina408_r2,teina424_r2,teina432_r2,teina428_r2,teina404_r2,teina414_r2
6,bs_bs4_06,rd_p_sen,migr_eilpop,bs_bs7_00,ilc_lvhd02,trng_nfe18,icw_car_04,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq
7,apro_mk_fatprot,tag00039,tag00037,tag00041,tag00038,med_ag33,org_aprod_h,med_ag32,enps_apro_mt_ls,gbv_npv_cnq
8,rd_p_sen,iss_21gvcms,enps_tour_occ_arnat,enps_tour_occ_ninat,enps_tour_cap_nat,rail_eq_pa_nca,bs_bs7_00,med_en3,bs_bs4_06,bs_bs8_00
9,gbv_npv_rp,gbv_ch_rp,gbv_ipv_rp,gbv_any_rp,gbv_shw_rp,hlth_sha11_hf$dv_2821,tepsr_sp310,lfst_dpw_02,gbv_st_perp,gbv_npv_perp
10,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,med_en44,hsw_ij_isna,egi_em2,tus_00travel,hsw_aw_ws2,road_tf_buscoa,enpe_educ_figdp
11,lfso_10fvaredu$dv_609,enpe_isoc_ci_ifp_fu,ilc_mdes03$dv_2702,ilc_scp07$dv_1064,hlth_ehis_al1e$dv_1142,ilc_odbt09,ilc_scp12$dv_2746,ilc_scp10$dv_2744,ilc_odbt08,teimf100
12,iss_21gvcms,met_d3dens,aei_pestsal_rsk,met_ipr_da,met_ipr_dfa,migr_asyappctza$dv_618,lfsi_jhh_a,tps00191,tps00189,met_ipr_dr
